alpha,beta1,beta2,window,corr_min_completion,corr_knn_completion,corr_min_rmsd,corr_knn_rmsd,auc_min_success,auc_knn_success
0.05,0.3,0.3,12,0.8043785697295247,0.6152963094034073,0.47856785743877495,0.3585442359899767,0.925993339,0.8789898477867155
0.05,0.3,0.3,24,0.8543781113658578,0.6850739476136058,0.510233367,0.4156598214133075,0.9469166007751006,0.8822370227366738
0.05,0.3,0.3,48,0.8889928503674634,0.7902335633686111,0.5323413840563224,0.48590533613007564,0.9608569085913261,0.9217457745168611
0.05,0.3,0.3,72,0.8989421941299064,0.8320983847755057,0.5383473612986654,0.5103104811835552,0.964135922,0.9398762766434424
0.05,0.3,0.3,96,0.9060154475198247,0.8573193299543466,0.5424654219045928,0.5248640738789299,0.9677559047311319,0.9501707150577463
0.05,0.3,0.3,120,0.9096805408280118,0.873958492,0.5443804508943288,0.5339639228258737,0.9686969652752502,0.9578350357857655
0.05,0.3,0.3,240,0.9096805408280118,0.873958492,0.5443804508943288,0.5339639228258737,0.9686969652752502,0.9578350357857655
0.05,0.3,0.3,480,0.9096805408280118,0.873958492,0.5443804508943288,0.5339639228258737,0.9686969652752502,0.9578350357857655
0.05,0.3,0.5,6,0.7235079743030401,0.6603129335161717,0.42988211922469255,0.38928934440461704,0.898253442,0.9237689303772205
0.05,0.3,0.5,12,0.80486202,0.6167873039470099,0.4792030342906446,0.3600155331363211,0.9263235501610358,0.8795162118566487
0.05,0.3,0.5,24,0.854661497,0.6863333777434785,0.5106829516761062,0.41692346446034206,0.947241297,0.8826046624166984
0.05,0.3,0.5,48,0.8890827422276041,0.7910208999984537,0.5326925143031058,0.486938204,0.9611426848186857,0.9220235497331098
0.05,0.3,0.5,72,0.8989514371098817,0.8325875310124291,0.5386614909670607,0.5112116347664044,0.9644014619881456,0.9401115907498789
